sku,warehouse_code,qty_on_hand,qty_reserved
SKU_0391,ICN01,90,81
SKU_0135,NRT01,283,71
SKU_0004,MAD01,485,183
SKU_0425,JFK01,392,126
SKU_0229,LHR01,432,90
SKU_0231,NRT01,340,162
SKU_0212,BER01,169,1
SKU_0332,SIN01,30,10
SKU_0346,LHR01,458,138
SKU_0080,DXB01,45,41
SKU_0465,LHR01,404,7
SKU_0481,NRT01,45,41
SKU_0273,ICN01,231,33
SKU_0010,SIN01,181,148
SKU_0054,MXP01,142,95
SKU_0213,ICN01,487,19
SKU_0318,ICN01,412,103
SKU_0373,SIN01,351,96
SKU_0408,CDG01,495,23
SKU_0369,DXB01,27,22
SKU_0139,NRT01,139,0
SKU_0394,LHR01,0,0
SKU_0201,DXB01,175,116
SKU_0194,MXP01,236,94
SKU_0215,ICN01,185,117
SKU_0452,NRT01,371,35
SKU_0302,SIN01,245,77
SKU_0043,CDG01,172,0
SKU_0222,BER01,166,157
SKU_0011,JFK01,123,31
SKU_0028,MAD01,401,76
SKU_0457,ICN01,389,179
SKU_0096,LHR01,159,124
SKU_0326,CDG01,442,107
SKU_0429,LHR01,428,96
SKU_0487,DXB01,112,108
SKU_0429,SIN01,112,107
SKU_0428,CDG01,164,52
SKU_0398,MXP01,84,69
SKU_0306,CDG01,486,125
SKU_0364,BER01,35,26
SKU_0077,MAD01,103,7
SKU_0479,MAD01,411,166
SKU_0194,LHR01,180,14
SKU_0246,LHR01,439,12
SKU_0222,ICN01,62,25
SKU_0310,CDG01,112,55
SKU_0434,SIN01,29,10
SKU_0296,CDG01,137,30
SKU_0062,SIN01,336,146
SKU_0328,SIN01,226,155
SKU_0221,NRT01,53,38
SKU_0295,MXP01,211,113
SKU_0017,MAD01,476,159
SKU_0199,CDG01,281,118
SKU_0139,MAD01,215,17
SKU_0442,JFK01,76,65
SKU_0113,CDG01,262,171
SKU_0385,SIN01,277,132
SKU_0160,SIN01,231,144
SKU_0277,BER01,464,129
SKU_0079,MXP01,398,55
SKU_0234,DXB01,318,103
SKU_0272,ICN01,275,175
SKU_0221,JFK01,228,64
SKU_0472,BER01,95,89
SKU_0120,CDG01,446,199
SKU_0484,CDG01,291,182
SKU_0226,LHR01,460,83
SKU_0132,SIN01,416,85
SKU_0303,DXB01,8,1
SKU_0416,NRT01,436,194
SKU_0411,NRT01,196,115
SKU_0440,JFK01,372,168
SKU_0045,LHR01,427,83
SKU_0196,SIN01,391,187
SKU_0268,LHR01,141,4
SKU_0275,JFK01,464,136
SKU_0094,MXP01,385,103
SKU_0158,MAD01,328,30
SKU_0329,NRT01,230,20
SKU_0216,DXB01,28,18
SKU_0143,JFK01,339,200
SKU_0111,LHR01,191,145
SKU_0210,NRT01,240,137
SKU_0044,NRT01,60,56
SKU_0335,MAD01,32,23
SKU_0055,BER01,372,19
SKU_0364,NRT01,195,148
SKU_0412,CDG01,13,4
SKU_0463,SIN01,304,12
SKU_0156,ICN01,375,78
SKU_0145,MAD01,134,15
SKU_0395,DXB01,349,139
SKU_0034,DXB01,50,38
SKU_0390,NRT01,315,65
SKU_0465,JFK01,253,143
SKU_0290,LHR01,443,180
SKU_0321,LHR01,318,175
SKU_0083,ICN01,404,136
SKU_0306,CDG01,10,9
SKU_0257,ICN01,490,173
SKU_0026,ICN01,423,133
SKU_0038,MXP01,157,20
SKU_0220,ICN01,445,184
SKU_0200,LHR01,52,30
SKU_0389,SIN01,350,38
SKU_0428,MAD01,142,41
SKU_0497,CDG01,209,120
SKU_0026,BER01,496,7
SKU_0176,BER01,380,88
SKU_0284,JFK01,143,2
SKU_0131,MAD01,331,122
SKU_0249,MAD01,499,179
SKU_0166,SIN01,90,36
SKU_0004,CDG01,118,7
SKU_0102,LHR01,187,16
SKU_0383,BER01,442,105
SKU_0048,SIN01,177,150
SKU_0286,MAD01,222,45
SKU_0396,JFK01,351,79
SKU_0313,MXP01,324,119
SKU_0215,MXP01,330,25
SKU_0313,MXP01,301,88
SKU_0443,BER01,477,54
SKU_0093,DXB01,38,38
SKU_0294,CDG01,42,0
SKU_0070,ICN01,118,27
SKU_0135,MAD01,427,34
SKU_0075,SIN01,470,192
SKU_0249,SIN01,28,17
SKU_0168,MAD01,156,42
SKU_0217,BER01,88,30
SKU_0316,DXB01,379,94
SKU_0136,NRT01,355,71
SKU_0132,BER01,403,46
SKU_0047,NRT01,267,162
SKU_0003,LHR01,61,20
SKU_0332,DXB01,244,103
SKU_0309,MXP01,398,25
SKU_0345,DXB01,445,26
SKU_0108,MAD01,279,195
SKU_0458,DXB01,188,63
SKU_0081,NRT01,240,92
SKU_0008,BER01,388,55
SKU_0313,SIN01,124,15
SKU_0237,DXB01,459,42
SKU_0418,DXB01,76,28
SKU_0076,MXP01,120,32
SKU_0358,JFK01,49,47
SKU_0105,MAD01,178,123
SKU_0406,MAD01,453,110
SKU_0167,ICN01,84,70
SKU_0004,SIN01,101,28
SKU_0192,CDG01,6,3
SKU_0364,MXP01,438,176
SKU_0167,DXB01,368,133
SKU_0023,MXP01,400,132
SKU_0088,MAD01,456,74
SKU_0022,SIN01,439,173
SKU_0278,JFK01,265,97
SKU_0096,DXB01,376,88
SKU_0268,SIN01,383,46
SKU_0296,NRT01,444,187
SKU_0384,SIN01,11,6
SKU_0449,JFK01,322,163
SKU_0185,BER01,487,118
SKU_0371,NRT01,194,4
SKU_0269,CDG01,188,90
SKU_0276,JFK01,423,173
SKU_0070,ICN01,73,25
SKU_0480,LHR01,497,104
SKU_0236,DXB01,434,5
SKU_0033,LHR01,189,50
SKU_0436,JFK01,325,115
SKU_0383,CDG01,397,55
SKU_0428,MXP01,392,24
SKU_0425,MXP01,479,113
SKU_0245,DXB01,387,97
SKU_0436,BER01,260,178
SKU_0346,ICN01,108,94
SKU_0250,LHR01,121,56
SKU_0303,MAD01,275,120
SKU_0005,BER01,15,10
SKU_0128,BER01,94,69
SKU_0479,MAD01,281,189
SKU_0039,JFK01,360,38
SKU_0336,NRT01,337,156
SKU_0200,DXB01,231,176
SKU_0383,DXB01,432,49
SKU_0389,SIN01,405,194
SKU_0200,MXP01,412,73
SKU_0171,LHR01,81,80
SKU_0168,ICN01,79,21
SKU_0079,CDG01,277,168
SKU_0106,MXP01,395,104
SKU_0426,MXP01,346,68
SKU_0410,JFK01,301,144
SKU_0352,ICN01,62,13
SKU_0266,CDG01,229,19
SKU_0287,ICN01,22,13
SKU_0292,MAD01,408,166
SKU_0104,MAD01,306,67
SKU_0175,LHR01,18,12
SKU_0337,BER01,102,66
SKU_0369,JFK01,315,36
SKU_0037,ICN01,74,74
SKU_0265,ICN01,7,4
SKU_0356,JFK01,248,129
SKU_0192,SIN01,407,27
SKU_0385,CDG01,125,53
SKU_0334,NRT01,324,3
SKU_0185,ICN01,306,85
SKU_0334,ICN01,467,45
SKU_0162,CDG01,351,148
SKU_0197,MAD01,153,18
SKU_0072,NRT01,163,43
SKU_0281,BER01,279,157
SKU_0299,CDG01,346,140
SKU_0456,BER01,388,195
SKU_0266,ICN01,390,7
SKU_0269,LHR01,46,0
SKU_0236,LHR01,144,44
SKU_0469,NRT01,360,102
SKU_0014,NRT01,399,105
SKU_0262,CDG01,259,166
SKU_0171,BER01,339,129
SKU_0147,MXP01,400,197
SKU_0140,NRT01,410,124
SKU_0069,LHR01,430,50
SKU_0089,ICN01,439,182
SKU_0364,SIN01,253,106
SKU_0109,BER01,400,57
SKU_0398,LHR01,366,150
SKU_0039,BER01,28,25
SKU_0156,NRT01,262,76
SKU_0358,NRT01,23,18
SKU_0241,MAD01,495,124
SKU_0169,ICN01,262,183
SKU_0403,MXP01,90,15
SKU_0285,LHR01,284,194
SKU_0492,CDG01,33,33
SKU_0435,SIN01,142,118
SKU_0086,MAD01,46,45
SKU_0489,NRT01,53,7
SKU_0082,ICN01,182,158
SKU_0355,SIN01,158,99
SKU_0004,NRT01,29,4
SKU_0352,NRT01,54,8
SKU_0037,SIN01,270,29
SKU_0230,CDG01,157,45
SKU_0361,NRT01,444,35
SKU_0253,DXB01,269,139
SKU_0283,LHR01,446,20
SKU_0273,DXB01,312,42
SKU_0013,ICN01,111,3
SKU_0439,MXP01,59,24
SKU_0177,JFK01,443,116
SKU_0086,ICN01,45,35
SKU_0455,MAD01,52,0
SKU_0295,DXB01,115,12
SKU_0479,CDG01,9,1
SKU_0236,MAD01,337,46
SKU_0388,DXB01,32,14
SKU_0204,JFK01,79,24
SKU_0279,CDG01,38,13
SKU_0340,SIN01,488,8
SKU_0091,CDG01,435,144
SKU_0335,BER01,454,23
SKU_0427,MAD01,159,1
SKU_0039,MXP01,198,157
SKU_0199,LHR01,443,180
SKU_0121,ICN01,18,14
SKU_0254,JFK01,457,125
SKU_0081,CDG01,323,190
SKU_0145,DXB01,24,22
SKU_0366,MAD01,489,141
SKU_0004,ICN01,376,52
SKU_0354,DXB01,117,30
SKU_0492,NRT01,185,6
SKU_0058,ICN01,363,47
SKU_0216,JFK01,166,17
SKU_0019,MXP01,431,147
SKU_0140,ICN01,480,30
SKU_0249,NRT01,18,11
SKU_0341,LHR01,414,186
SKU_0486,DXB01,51,13
SKU_0114,JFK01,15,12
SKU_0227,NRT01,28,27
SKU_0443,MAD01,427,38
SKU_0151,CDG01,244,79
SKU_0048,NRT01,173,145
SKU_0324,ICN01,212,86
SKU_0123,NRT01,288,12
SKU_0114,ICN01,115,84
SKU_0265,DXB01,246,71
SKU_0103,NRT01,309,25
SKU_0302,DXB01,447,129
SKU_0010,CDG01,14,12
SKU_0283,MXP01,52,25
SKU_0073,ICN01,249,92
SKU_0023,LHR01,365,79
SKU_0221,BER01,123,82
SKU_0063,MXP01,200,92
SKU_0003,CDG01,115,73
SKU_0131,DXB01,444,92
SKU_0262,MXP01,198,190
SKU_0148,JFK01,30,3
SKU_0258,LHR01,390,165
SKU_0469,MAD01,10,2
SKU_0110,JFK01,1,0
SKU_0193,DXB01,53,38
SKU_0268,BER01,476,154
SKU_0004,ICN01,380,4
SKU_0432,MAD01,57,54
SKU_0250,DXB01,16,14
SKU_0497,DXB01,61,58
SKU_0381,MAD01,473,41
SKU_0200,SIN01,242,162
SKU_0182,CDG01,143,102
SKU_0049,ICN01,331,40
SKU_0339,JFK01,344,163
SKU_0465,BER01,321,72
SKU_0101,MAD01,345,110
SKU_0178,ICN01,275,190
SKU_0446,BER01,425,194
SKU_0328,SIN01,401,42
SKU_0006,JFK01,454,0
SKU_0132,BER01,248,20
SKU_0456,CDG01,424,58
SKU_0197,DXB01,116,36
SKU_0250,ICN01,385,75
SKU_0046,MXP01,149,36
SKU_0370,SIN01,58,43
SKU_0465,MAD01,479,112
SKU_0481,MXP01,172,55
SKU_0033,MXP01,186,148
SKU_0189,DXB01,7,0
SKU_0026,JFK01,321,158
SKU_0460,CDG01,218,184
SKU_0299,DXB01,156,120
SKU_0101,DXB01,217,65
SKU_0070,SIN01,352,35
SKU_0304,MXP01,104,52
SKU_0323,LHR01,19,19
SKU_0013,MAD01,266,40
SKU_0134,DXB01,29,20
SKU_0268,LHR01,135,110
SKU_0341,MXP01,226,10
SKU_0078,NRT01,214,1
SKU_0226,MXP01,57,31
SKU_0031,ICN01,6,1
SKU_0089,DXB01,86,42
SKU_0166,NRT01,338,168
SKU_0042,NRT01,130,23
SKU_0231,ICN01,95,23
SKU_0280,CDG01,464,147
SKU_0178,MXP01,474,17
SKU_0252,DXB01,136,8
SKU_0050,ICN01,126,125
SKU_0230,MAD01,18,11
SKU_0395,BER01,137,42
SKU_0284,LHR01,228,48
SKU_0315,NRT01,108,96
SKU_0435,MAD01,380,103
SKU_0317,LHR01,13,12
SKU_0470,BER01,83,74
SKU_0217,DXB01,222,27
SKU_0070,CDG01,400,97
SKU_0146,ICN01,142,104
SKU_0429,SIN01,192,66
SKU_0238,BER01,418,91
SKU_0196,JFK01,169,12
SKU_0285,MXP01,471,90
SKU_0030,LHR01,332,78
SKU_0127,MAD01,297,144
SKU_0080,DXB01,239,3
SKU_0451,MAD01,296,43
SKU_0264,ICN01,61,0
SKU_0074,BER01,176,160
SKU_0172,LHR01,128,61
SKU_0271,JFK01,165,85
SKU_0073,CDG01,126,23
SKU_0481,BER01,389,104
SKU_0173,MAD01,60,34
SKU_0391,LHR01,440,144
SKU_0406,BER01,18,11
SKU_0096,BER01,438,52
SKU_0415,MAD01,394,10
SKU_0436,DXB01,99,1
SKU_0498,ICN01,250,56
SKU_0456,CDG01,375,171
SKU_0278,NRT01,415,13
SKU_0117,BER01,461,134
SKU_0149,CDG01,53,47
SKU_0221,SIN01,237,102
SKU_0304,JFK01,356,176
SKU_0446,LHR01,297,165
SKU_0063,CDG01,168,3
SKU_0433,SIN01,451,25
SKU_0297,SIN01,17,11
SKU_0249,MXP01,497,194
SKU_0157,DXB01,479,180
SKU_0143,CDG01,435,111
SKU_0303,LHR01,455,79
SKU_0127,BER01,232,111
SKU_0242,NRT01,282,164
SKU_0157,NRT01,59,49
SKU_0355,DXB01,381,95
SKU_0212,SIN01,217,155
SKU_0162,MAD01,468,118
SKU_0320,JFK01,288,96
SKU_0093,ICN01,116,21
SKU_0367,SIN01,111,21
SKU_0494,MXP01,485,58
SKU_0251,CDG01,97,86
SKU_0442,MAD01,40,36
SKU_0342,CDG01,167,104
SKU_0208,DXB01,349,27
SKU_0474,MXP01,32,14
SKU_0158,NRT01,10,7
SKU_0204,BER01,333,59
SKU_0077,MAD01,399,129
SKU_0228,ICN01,415,177
SKU_0281,LHR01,328,162
SKU_0384,ICN01,17,11
SKU_0415,LHR01,298,26
SKU_0242,CDG01,81,34
SKU_0096,NRT01,219,191
SKU_0124,SIN01,128,55
SKU_0237,NRT01,273,11
SKU_0035,NRT01,496,19
SKU_0270,MXP01,98,36
SKU_0039,NRT01,176,172
SKU_0247,LHR01,412,111
SKU_0384,BER01,73,52
SKU_0064,LHR01,55,47
SKU_0147,SIN01,195,43
SKU_0013,SIN01,104,32
SKU_0237,BER01,246,192
SKU_0118,DXB01,159,30
SKU_0144,DXB01,477,89
SKU_0407,ICN01,445,78
SKU_0232,NRT01,32,6
SKU_0399,ICN01,262,136
SKU_0168,MAD01,90,51
SKU_0207,NRT01,242,163
SKU_0372,CDG01,7,4
SKU_0115,BER01,99,5
SKU_0064,MXP01,280,170
SKU_0188,SIN01,259,188
SKU_0456,LHR01,207,95
SKU_0462,ICN01,5,4
SKU_0272,CDG01,455,173
SKU_0406,MXP01,459,17
SKU_0261,MAD01,19,4
SKU_0145,MXP01,485,102
SKU_0413,JFK01,284,134
SKU_0401,JFK01,221,16
SKU_0240,NRT01,134,96
SKU_0018,BER01,234,55
SKU_0392,ICN01,427,51
SKU_0041,MXP01,288,49
SKU_0354,LHR01,264,21
SKU_0098,SIN01,466,34
SKU_0391,JFK01,301,188
SKU_0104,BER01,381,1
SKU_0157,DXB01,3,1
SKU_0002,BER01,403,189
SKU_0118,MXP01,290,28
SKU_0336,LHR01,205,73
SKU_0251,ICN01,130,47
SKU_0372,SIN01,101,71
SKU_0354,ICN01,284,24
SKU_0105,NRT01,474,186
SKU_0244,JFK01,454,178
SKU_0083,SIN01,414,178
SKU_0400,BER01,52,35
SKU_0039,DXB01,176,53
SKU_0338,MAD01,94,46
SKU_0353,BER01,273,63
SKU_0018,JFK01,45,12
SKU_0204,SIN01,32,26
SKU_0027,NRT01,125,64
SKU_0160,LHR01,467,185
SKU_0243,BER01,232,103
SKU_0007,JFK01,261,126
SKU_0159,MAD01,7,7
SKU_0082,ICN01,467,176
SKU_0352,MXP01,271,130
SKU_0037,CDG01,173,7
SKU_0128,MAD01,45,26
SKU_0247,BER01,38,11
SKU_0272,BER01,342,62
SKU_0228,MAD01,324,56
SKU_0309,BER01,168,162
SKU_0291,NRT01,482,193
SKU_0030,BER01,457,39
SKU_0495,JFK01,403,114
SKU_0331,BER01,49,17
SKU_0218,MAD01,178,63
SKU_0304,DXB01,125,105
SKU_0397,ICN01,302,132
SKU_0374,JFK01,124,121
SKU_0495,JFK01,21,14
SKU_0086,MXP01,416,130
SKU_0213,LHR01,440,173
SKU_0044,DXB01,221,172
SKU_0426,JFK01,118,6
SKU_0419,ICN01,255,141
SKU_0016,LHR01,347,147
SKU_0144,ICN01,251,9
SKU_0044,MXP01,360,19
SKU_0435,JFK01,287,0
SKU_0131,MXP01,224,26
SKU_0455,JFK01,19,17
SKU_0104,ICN01,65,36
SKU_0281,SIN01,157,128
SKU_0169,ICN01,95,27
SKU_0418,SIN01,278,165
SKU_0500,BER01,217,179
SKU_0036,SIN01,474,56
SKU_0412,JFK01,408,115
SKU_0236,ICN01,12,11
SKU_0213,NRT01,312,166
SKU_0352,DXB01,327,16
SKU_0362,NRT01,208,142
SKU_0292,MAD01,25,13
SKU_0185,SIN01,149,19
SKU_0358,ICN01,303,140
SKU_0129,NRT01,490,106
SKU_0208,NRT01,345,63
SKU_0244,DXB01,213,199
SKU_0044,BER01,139,90
SKU_0114,DXB01,246,115
SKU_0247,SIN01,455,134
SKU_0186,MAD01,70,35
SKU_0494,DXB01,258,59
SKU_0212,LHR01,274,174
SKU_0476,BER01,466,178
SKU_0099,SIN01,149,79
SKU_0278,MAD01,462,42
SKU_0098,MAD01,453,96
SKU_0020,MXP01,66,34
SKU_0137,DXB01,2,0
SKU_0180,ICN01,254,163
SKU_0032,JFK01,61,30
SKU_0416,BER01,88,79
SKU_0171,MAD01,284,139
SKU_0468,LHR01,467,101
SKU_0389,LHR01,370,0
SKU_0493,NRT01,224,184
SKU_0211,NRT01,391,41
SKU_0302,MXP01,1,0
SKU_0428,BER01,419,185
SKU_0490,CDG01,155,54
SKU_0252,MXP01,46,40
SKU_0081,ICN01,312,140
SKU_0481,CDG01,262,187
SKU_0193,DXB01,163,30
SKU_0008,BER01,211,198
SKU_0437,LHR01,314,151
SKU_0237,CDG01,443,126
SKU_0435,BER01,105,79
SKU_0405,NRT01,347,20
SKU_0121,JFK01,318,77
SKU_0017,JFK01,346,120
SKU_0407,DXB01,301,74
SKU_0093,DXB01,461,10
SKU_0034,ICN01,191,114
SKU_0187,DXB01,163,121
SKU_0155,BER01,193,54
SKU_0325,JFK01,284,18
SKU_0498,CDG01,350,170
SKU_0254,CDG01,401,87
SKU_0202,CDG01,446,86
SKU_0162,SIN01,107,66
SKU_0368,MXP01,59,3
SKU_0293,ICN01,3,0
SKU_0383,ICN01,475,97
SKU_0424,LHR01,208,172
SKU_0442,LHR01,337,87
SKU_0100,LHR01,225,96
SKU_0208,CDG01,411,177
SKU_0085,MXP01,149,95
SKU_0193,MAD01,237,179
SKU_0303,LHR01,261,21
SKU_0151,NRT01,117,97
SKU_0354,ICN01,443,158
SKU_0500,SIN01,168,117
SKU_0171,DXB01,134,100
SKU_0403,CDG01,196,142
SKU_0098,MXP01,396,46
SKU_0214,CDG01,190,49
SKU_0121,BER01,279,40
SKU_0417,MXP01,311,180
SKU_0302,ICN01,301,102
SKU_0194,CDG01,279,180
SKU_0401,LHR01,263,119
SKU_0388,DXB01,264,142
SKU_0019,MXP01,55,18
SKU_0328,CDG01,98,53
SKU_0115,MXP01,269,113
SKU_0134,DXB01,53,8
SKU_0411,ICN01,61,58
SKU_0289,NRT01,443,115
SKU_0314,CDG01,443,42
SKU_0081,MAD01,106,2
SKU_0308,MXP01,150,55
SKU_0484,LHR01,351,41
SKU_0044,NRT01,140,82
SKU_0170,SIN01,310,156
SKU_0306,CDG01,470,10
SKU_0244,JFK01,175,102
SKU_0199,BER01,248,33
SKU_0481,NRT01,29,12
SKU_0329,NRT01,481,107
SKU_0179,SIN01,442,134
SKU_0500,NRT01,226,178
SKU_0038,DXB01,55,50
SKU_0027,MXP01,50,15
SKU_0205,SIN01,233,123
SKU_0489,ICN01,249,155
SKU_0185,MAD01,336,177
SKU_0330,NRT01,380,32
SKU_0369,JFK01,138,98
SKU_0246,NRT01,239,20
SKU_0302,ICN01,241,80
SKU_0169,SIN01,298,30
SKU_0415,JFK01,15,9
SKU_0172,MXP01,343,6
SKU_0473,JFK01,275,180
SKU_0320,MXP01,461,76
SKU_0105,BER01,473,188
SKU_0271,JFK01,193,150
SKU_0229,ICN01,292,71
SKU_0490,LHR01,120,86
SKU_0199,ICN01,249,69
SKU_0393,BER01,266,109
SKU_0431,BER01,309,149
SKU_0201,MAD01,446,2
SKU_0266,SIN01,265,108
SKU_0119,MAD01,467,20
SKU_0489,MXP01,62,34
SKU_0355,NRT01,165,149
SKU_0020,MAD01,146,13
SKU_0352,MXP01,404,74
SKU_0134,SIN01,142,47
SKU_0235,CDG01,231,35
SKU_0186,MXP01,139,87
SKU_0372,JFK01,245,143
SKU_0211,LHR01,31,21
SKU_0130,SIN01,423,166
SKU_0084,BER01,243,70
SKU_0464,CDG01,233,81
SKU_0047,MAD01,125,78
SKU_0064,MXP01,195,1
SKU_0123,SIN01,279,43
SKU_0287,CDG01,116,40
SKU_0212,BER01,486,153
SKU_0312,LHR01,346,4
SKU_0287,DXB01,273,126
SKU_0246,SIN01,0,0
SKU_0184,CDG01,54,12
SKU_0295,MAD01,110,107
SKU_0411,MAD01,321,44
SKU_0166,ICN01,495,115
SKU_0429,MAD01,476,122
SKU_0355,MXP01,395,173
SKU_0415,ICN01,417,62
SKU_0048,SIN01,398,123
SKU_0035,BER01,206,46
SKU_0209,ICN01,374,112
SKU_0377,BER01,210,17
SKU_0207,NRT01,407,57
SKU_0392,BER01,200,53
SKU_0406,BER01,61,15
SKU_0006,NRT01,72,52
SKU_0067,MXP01,350,157
SKU_0265,ICN01,155,6
SKU_0313,MXP01,206,101
SKU_0188,MXP01,290,124
SKU_0232,CDG01,398,80
SKU_0116,ICN01,152,68
SKU_0494,NRT01,418,65
SKU_0495,MAD01,332,86
SKU_0148,LHR01,67,13
SKU_0335,SIN01,194,43
SKU_0025,BER01,333,8
SKU_0435,LHR01,358,45
SKU_0443,BER01,315,63
SKU_0460,MXP01,469,129
SKU_0084,BER01,4,0
SKU_0405,MAD01,83,2
SKU_0182,NRT01,439,98
SKU_0165,CDG01,147,90
SKU_0205,BER01,218,158
SKU_0215,MAD01,20,1
SKU_0475,LHR01,307,43
SKU_0449,NRT01,96,11
SKU_0403,DXB01,68,38
SKU_0008,MXP01,456,31
SKU_0476,DXB01,326,116
SKU_0168,BER01,353,68
SKU_0356,JFK01,236,108
SKU_0265,ICN01,499,23
SKU_0334,JFK01,245,114
SKU_0417,MAD01,380,50
SKU_0412,NRT01,115,30
SKU_0425,DXB01,223,157
SKU_0160,JFK01,10,1
SKU_0283,MXP01,131,82
SKU_0230,ICN01,493,96
SKU_0043,ICN01,444,183
SKU_0343,JFK01,452,147
SKU_0431,DXB01,27,23
SKU_0213,MXP01,33,0
SKU_0110,LHR01,273,78
SKU_0033,SIN01,454,62
SKU_0343,JFK01,326,104
SKU_0189,JFK01,108,32
SKU_0325,ICN01,189,179
SKU_0458,DXB01,144,109
SKU_0383,LHR01,65,7
SKU_0113,BER01,143,105
SKU_0233,JFK01,223,66
SKU_0155,CDG01,38,38
SKU_0484,BER01,316,44
SKU_0362,BER01,459,154
SKU_0059,MXP01,347,53
SKU_0424,DXB01,108,43
SKU_0449,MXP01,422,46
SKU_0176,ICN01,64,54
SKU_0413,CDG01,254,177
SKU_0262,LHR01,427,194
SKU_0128,BER01,145,116
SKU_0408,DXB01,433,18
SKU_0126,MXP01,396,11
SKU_0238,MXP01,316,22
SKU_0258,DXB01,9,5
SKU_0358,BER01,452,35
SKU_0343,MXP01,26,24
SKU_0178,DXB01,393,68
SKU_0214,DXB01,39,8
SKU_0031,ICN01,315,5
SKU_0339,ICN01,55,6
SKU_0320,DXB01,394,151
SKU_0233,NRT01,327,112
SKU_0080,DXB01,122,101
SKU_0001,NRT01,60,20
SKU_0274,MXP01,193,79
SKU_0117,MAD01,400,64
SKU_0139,JFK01,280,4
SKU_0353,DXB01,130,4
SKU_0032,MAD01,84,26
SKU_0056,MAD01,181,12
SKU_0490,SIN01,286,127
SKU_0125,CDG01,450,87
SKU_0351,NRT01,297,6
SKU_0435,CDG01,122,97
SKU_0140,NRT01,484,47
SKU_0382,MAD01,81,49
SKU_0073,CDG01,457,84
SKU_0349,DXB01,393,181
SKU_0189,DXB01,480,185
SKU_0196,JFK01,454,129
SKU_0155,MAD01,254,95
SKU_0197,DXB01,375,113
